Adjusted Grade,New?,Other Location Code in LCGMS,School Name,SED Code,Location Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency
,,,P.S. 199 FREDERICK WACHTEL,3.32E+11,21K199,21,40.616567,-73.963134,"1100 ELM AVE BROOKLYN, NY 11230",BROOKLYN,11230,"PK,0K,01,02,03,04,05",PK,5,No,0.7,40233.93,0.29,0.21,0.04,0.27,0.31,0.48,0.94,0.15,0.95,Exceeding Target,0.94,Exceeding Target,0.98,Exceeding Target,0.86,Exceeding Target,0.86,Meeting Target,0.96,Exceeding Target,Meeting Target,2.8,3.08
,,,P.S. 209 MARGARET MEAD,3.32E+11,21K209,21,40.58677,-73.961478,"2609 E 7TH ST BROOKLYN, NY 11235",BROOKLYN,11235,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.6,51896.27,0.16,0.3,0.04,0.23,0.27,0.42,0.94,0.18,0.93,Meeting Target,0.94,Meeting Target,0.91,Meeting Target,0.81,Meeting Target,0.81,Approaching Target,0.93,Meeting Target,Meeting Target,2.64,2.82
,,,P.S. 212 LADY DEBORAH MOODY,3.32E+11,21K212,21,40.587495,-73.985611,"87 BAY 49TH ST BROOKLYN, NY 11214",BROOKLYN,11214,"PK,0K,01,02,03,04,05",PK,5,No,0.76,34549.16,0.19,0.34,0.15,0.33,0.48,0.18,0.93,0.28,0.91,Exceeding Target,0.89,Exceeding Target,0.96,Meeting Target,0.78,Meeting Target,0.79,Approaching Target,0.92,Meeting Target,Meeting Target,2.63,2.7
,,,P.S. 215 MORRIS H. WEISS,3.32E+11,21K215,21,40.602465,-73.970072,"415 AVE S BROOKLYN, NY 11223",BROOKLYN,11223,"PK,0K,01,02,03,04,05",PK,5,No,0.52,45832.34,0.15,0.23,0.03,0.26,0.29,0.47,0.94,0.19,0.98,Exceeding Target,0.96,Exceeding Target,0.97,Meeting Target,0.91,Exceeding Target,0.8,Approaching Target,0.92,Meeting Target,Meeting Target,2.95,3.28
,,,P.S. 216 ARTURO TOSCANINI,3.32E+11,21K216,21,40.590181,-73.969661,"350 AVE X BROOKLYN, NY 11223",BROOKLYN,11223,"PK,0K,01,02,03,04,05",PK,5,No,0.52,42871.4,0.15,0.24,0.05,0.18,0.23,0.52,0.95,0.14,0.88,Approaching Target,0.92,Meeting Target,0.93,Meeting Target,0.84,Meeting Target,0.84,Meeting Target,0.96,Exceeding Target,Approaching Target,2.69,2.84
,,,P.S. K225 - THE EILEEN E. ZAGLIN,3.32E+11,21K225,21,40.57981,-73.95601,"1075 OCEANVIEW AVE BROOKLYN, NY 11235",BROOKLYN,11235,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.68,36586.39,0.41,0.17,0.03,0.37,0.4,0.42,0.93,0.24,0.92,Approaching Target,0.89,Meeting Target,0.87,Meeting Target,0.85,Meeting Target,0.76,Approaching Target,0.92,Meeting Target,Meeting Target,2.51,2.64
,,,P.S. 226 ALFRED DE B.MASON,3.32E+11,21K226,21,40.615326,-73.976944,"6006 23RD AVE BROOKLYN, NY 11204",BROOKLYN,11204,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.69,47058.63,0.21,0.28,0.02,0.31,0.33,0.38,0.95,0.11,0.95,Exceeding Target,0.93,Meeting Target,0.92,Exceeding Target,0.85,Meeting Target,0.82,Meeting Target,0.93,Exceeding Target,Meeting Target,2.72,2.89
,,,I.S. 228 DAVID A. BOODY,3.32E+11,21K228,21,40.600816,-73.976838,"228 AVE S BROOKLYN, NY 11223",BROOKLYN,11223,"06,07,08",6,8,No,0.64,N/A,0.11,0.29,0.08,0.26,0.34,0.36,0.95,0.16,0.92,Meeting Target,0.94,Exceeding Target,0.88,Meeting Target,0.89,Exceeding Target,0.74,Approaching Target,0.93,Exceeding Target,Meeting Target,2.62,2.8
,,,P.S. 238 ANNE SULLIVAN,3.32E+11,21K238,21,40.608787,-73.964587,"1633 E 8TH ST BROOKLYN, NY 11223",BROOKLYN,11223,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.8,44760.9,0.27,0.17,0.04,0.56,0.61,0.22,0.94,0.18,0.88,Meeting Target,0.91,Meeting Target,0.89,Exceeding Target,0.77,Meeting Target,0.82,Meeting Target,0.92,Meeting Target,Meeting Target,2.42,2.49
,,,MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED,3.32E+11,21K239,21,40.57866,-73.992391,"2401 NEPTUNE AVE BROOKLYN, NY 11224",BROOKLYN,11224,"06,07,08",6,8,No,0.31,N/A,0.01,0.28,0.07,0.05,0.12,0.54,0.96,0.07,0.88,Meeting Target,0.89,Exceeding Target,0.87,Meeting Target,0.86,Meeting Target,0.73,Approaching Target,0.91,Meeting Target,Meeting Target,3.53,3.71
,,,P.S. 253,3.32E+11,21K253,21,40.580084,-73.961946,"601 OCEANVIEW AVE BROOKLYN, NY 11235",BROOKLYN,11235,"PK,0K,01,02,03,04,05",PK,5,No,0.8,32595.45,0.23,0.38,0,0.41,0.41,0.2,0.95,0.14,0.99,Exceeding Target,0.98,Exceeding Target,0.97,Exceeding Target,0.95,Exceeding Target,0.84,Meeting Target,0.98,Exceeding Target,Meeting Target,2.56,2.97
,,,I.S. 281 JOSEPH B CAVALLARO,3.32E+11,21K281,21,40.594445,-73.993819,"8787 24TH AVE BROOKLYN, NY 11214",BROOKLYN,11214,"06,07,08",6,8,No,0.63,N/A,0.16,0.38,0.07,0.22,0.29,0.31,0.94,0.19,0.81,Approaching Target,0.78,Meeting Target,0.81,Approaching Target,0.65,Not Meeting Target,0.69,Not Meeting Target,0.81,Approaching Target,Exceeding Target,2.72,2.97
,,,P.S. 288 THE SHIRLEY TANYHILL,3.32E+11,21K288,21,40.57427,-73.992477,"2950 W 25TH ST BROOKLYN, NY 11224",BROOKLYN,11224,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.91,22422.66,0.07,0.02,0.53,0.36,0.9,0.07,0.89,0.46,0.83,Approaching Target,0.86,Approaching Target,0.8,Approaching Target,0.82,Meeting Target,0.81,Approaching Target,0.89,Meeting Target,Approaching Target,2.19,2.2
,,,I.S. 303 HERBERT S. EISENBERG,3.32E+11,21K303,21,40.58241,-73.972436,"501 WEST AVE BROOKLYN, NY 11224",BROOKLYN,11224,"06,07,08",6,8,No,0.7,N/A,0.11,0.21,0.12,0.34,0.46,0.33,0.93,0.23,0.87,Meeting Target,0.83,Meeting Target,0.88,Meeting Target,0.76,Approaching Target,0.74,Approaching Target,0.86,Meeting Target,Meeting Target,2.64,2.74
,,,P.S. 329 SURFSIDE,3.32E+11,21K329,21,40.574839,-73.995807,"2929 W 30TH ST BROOKLYN, NY 11224",BROOKLYN,11224,"PK,0K,01,02,03,04,05",PK,5,No,0.89,22533.91,0.03,0.06,0.59,0.27,0.86,0.07,0.92,0.3,0.83,Meeting Target,0.79,Approaching Target,0.77,Meeting Target,0.69,Approaching Target,0.81,Approaching Target,0.81,Approaching Target,Meeting Target,2.34,2.33
,,,KINGSBOROUGH EARLY COLLEGE SCHOOL,3.32E+11,21K468,21,40.593624,-73.986144,"2630 BENSON AVE BROOKLYN, NY 11214",BROOKLYN,11214,"06,07,08,09,10,11,12",6,12,No,0.56,N/A,0.01,0.08,0.24,0.27,0.51,0.4,0.93,0.21,0.94,Exceeding Target,0.98,Exceeding Target,0.77,Meeting Target,0.95,Exceeding Target,0.72,Approaching Target,0.91,Meeting Target,Meeting Target,2.61,2.65
,,,BROOKLYN STUDIO SECONDARY SCHOOL,3.32E+11,21K690,21,40.604847,-73.994746,"8310 21ST AVE BROOKLYN, NY 11214",BROOKLYN,11214,"06,07,08,09,10,11,12",6,12,No,0.61,N/A,0.13,0.18,0.03,0.29,0.33,0.49,0.95,0.16,0.85,Approaching Target,0.75,Approaching Target,0.82,Meeting Target,0.69,Approaching Target,0.67,Not Meeting Target,0.78,Approaching Target,Exceeding Target,2.77,2.67
,,,J.H.S. 014 SHELL BANK,3.32E+11,22K014,22,40.593516,-73.938193,"2424 BATCHELDER ST BROOKLYN, NY 11235",BROOKLYN,11235,"06,07,08",6,8,No,0.71,N/A,0.18,0.11,0.48,0.17,0.64,0.24,0.92,0.29,0.86,Meeting Target,0.91,Meeting Target,0.8,Meeting Target,0.86,Meeting Target,0.71,Approaching Target,0.92,Meeting Target,Meeting Target,2.32,2.41
,,,P.S. 052 SHEEPSHEAD BAY,3.32E+11,22K052,22,40.587404,-73.940251,"2675 E 29TH ST BROOKLYN, NY 11235",BROOKLYN,11235,"PK,0K,01,02,03,04,05",PK,5,No,0.57,53239.96,0.17,0.16,0.14,0.15,0.29,0.53,0.94,0.2,0.87,Meeting Target,0.82,Meeting Target,0.92,Meeting Target,0.72,Approaching Target,0.82,Approaching Target,0.85,Meeting Target,Meeting Target,2.65,3.06
,,,J.H.S. 078 ROY H. MANN,3.32E+11,22K078,22,40.620767,-73.912988,"1420 E 68TH ST BROOKLYN, NY 11234",BROOKLYN,11234,"06,07,08",6,8,No,0.55,N/A,0.05,0.05,0.73,0.1,0.83,0.11,0.93,0.22,0.82,Meeting Target,0.81,Meeting Target,0.77,Meeting Target,0.78,Approaching Target,0.74,Approaching Target,0.86,Approaching Target,Approaching Target,2.31,2.27
,,,P.S. 109,3.32E+11,22K109,22,40.636004,-73.933149,"1001 E 45TH ST BROOKLYN, NY 11210",BROOKLYN,11210,"0K,01,02,03,04,05,06,07,08",0K,8,No,0.74,55488.67,0.06,0.02,0.8,0.15,0.95,0.03,0.93,0.23,0.85,Approaching Target,0.84,Approaching Target,0.82,Meeting Target,0.81,Meeting Target,0.83,Approaching Target,0.88,Meeting Target,Meeting Target,2.32,2.2
,,,P.S. 119 AMERSFORT,3.32E+11,22K119,22,40.626035,-73.938787,"3829 AVE K BROOKLYN, NY 11210",BROOKLYN,11210,"0K,01,02,03,04,05",0K,5,No,0.67,56218.99,0.06,0.14,0.7,0.13,0.83,0.01,0.96,0.1,0.98,Meeting Target,0.96,Meeting Target,0.95,Exceeding Target,0.93,Exceeding Target,0.86,Meeting Target,0.99,Exceeding Target,Meeting Target,2.43,2.5
,,,P.S. K134,3.32E+11,22K134,22,40.632284,-73.973274,"4001 18TH AVE BROOKLYN, NY 11218",BROOKLYN,11218,"PK,0K,01,02,03,04,05",PK,5,No,0.8,39695.31,0.23,0.41,0.09,0.13,0.22,0.36,0.96,0.1,0.94,Exceeding Target,0.96,Exceeding Target,0.97,Exceeding Target,0.87,Meeting Target,0.84,Meeting Target,0.97,Exceeding Target,Exceeding Target,2.81,3.24
,,,P.S. 139 ALEXINE A. FENTY,3.32E+11,22K139,22,40.641322,-73.965829,"330 RUGBY RD BROOKLYN, NY 11226",BROOKLYN,11226,"PK,0K,01,02,03,04,05",PK,5,No,0.67,50545.8,0.17,0.17,0.31,0.39,0.7,0.09,0.95,0.16,0.79,Approaching Target,0.77,Approaching Target,0.82,Meeting Target,0.65,Not Meeting Target,0.83,Approaching Target,0.82,Approaching Target,Approaching Target,2.39,2.67
,,,SCHOOL OF SCIENCE & TECHNOLOGY,3.32E+11,22K152,22,40.632709,-73.95457,"725 E 23RD ST BROOKLYN, NY 11210",BROOKLYN,11210,"PK,0K,01,02,03,04,05",PK,5,No,0.75,45469.71,0.13,0.05,0.64,0.26,0.9,0.03,0.94,0.22,0.89,Exceeding Target,0.87,Meeting Target,0.88,Meeting Target,0.72,Approaching Target,0.85,Meeting Target,0.87,Meeting Target,Approaching Target,2.34,2.36
,,,P.S. 193 GIL HODGES,3.32E+11,22K193,22,40.621852,-73.950283,"2515 AVE L BROOKLYN, NY 11210",BROOKLYN,11210,"PK,0K,01,02,03,04,05",PK,5,No,0.56,54582.78,0.17,0.17,0.47,0.14,0.61,0.18,0.95,0.15,0.85,Exceeding Target,0.81,Meeting Target,0.89,Meeting Target,0.61,Not Meeting Target,0.83,Approaching Target,0.81,Approaching Target,Meeting Target,2.69,2.8
,,,P.S. 194 RAOUL WALLENBERG,3.32E+11,22K194,22,40.597404,-73.934085,"3117 AVE W BROOKLYN, NY 11229",BROOKLYN,11229,"PK,0K,01,02,03,04,05",PK,5,No,0.84,31128.43,0.08,0.12,0.49,0.23,0.73,0.14,0.91,0.36,0.95,Meeting Target,0.95,Meeting Target,0.9,Meeting Target,0.9,Exceeding Target,0.85,Meeting Target,0.96,Exceeding Target,Meeting Target,2.35,2.43
,,,P.S. 195 MANHATTAN BEACH,3.32E+11,22K195,22,40.580244,-73.943592,"131 IRWIN ST BROOKLYN, NY 11235",BROOKLYN,11235,"PK,0K,01,02,03,04,05",PK,5,No,0.26,75529.15,0.11,0.03,0.03,0.02,0.05,0.92,0.94,0.14,0.94,Exceeding Target,0.94,Exceeding Target,0.95,Meeting Target,0.86,Meeting Target,0.87,Meeting Target,0.95,Exceeding Target,Meeting Target,3.06,3.44
,,,P.S. 197 - THE KINGS HIGHWAY ACADEMY,3.32E+11,22K197,22,40.612571,-73.951555,"1599 E 22ND ST BROOKLYN, NY 11210",BROOKLYN,11210,"PK,0K,01,02,03,04,05",PK,5,No,0.64,47497.36,0.24,0.09,0.12,0.17,0.29,0.59,0.94,0.17,0.95,Meeting Target,0.93,Meeting Target,0.96,Meeting Target,0.87,Meeting Target,0.83,Meeting Target,0.96,Exceeding Target,Meeting Target,2.65,2.93
,,,P.S. 198 BROOKLYN,3.32E+11,22K198,22,40.636966,-73.937009,"4105 FARRAGUT RD BROOKLYN, NY 11210",BROOKLYN,11210,"PK,0K,01,02,03,04,05",PK,5,No,0.67,60517.36,0.04,0.03,0.87,0.07,0.94,0.01,0.93,0.24,0.94,Meeting Target,0.93,Meeting Target,0.91,Meeting Target,0.87,Exceeding Target,0.9,Exceeding Target,0.97,Exceeding Target,Meeting Target,2.46,2.45
,,,P.S. 203 FLOYD BENNETT SCHOOL,3.32E+11,22K203,22,40.621911,-73.925723,"5101 AVE M BROOKLYN, NY 11234",BROOKLYN,11234,"PK,0K,01,02,03,04,05",PK,5,No,0.59,70008.97,0.04,0.05,0.79,0.09,0.89,0.03,0.95,0.17,0.9,Meeting Target,0.89,Exceeding Target,0.87,Meeting Target,0.82,Meeting Target,0.86,Meeting Target,0.95,Exceeding Target,Meeting Target,2.43,2.61
,,,P.S. 206 JOSEPH F LAMB,3.32E+11,22K206,22,40.597135,-73.948515,"2200 GRAVESEND NECK RD BROOKLYN, NY 11229",BROOKLYN,11229,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.5,57254.23,0.19,0.46,0.02,0.11,0.13,0.39,0.96,0.09,0.92,Meeting Target,0.91,Exceeding Target,0.87,Meeting Target,0.84,Meeting Target,0.79,Approaching Target,0.89,Meeting Target,Exceeding Target,2.98,3.26
,,,P.S. 207 ELIZABETH G. LEARY,3.32E+11,22K207,22,40.613779,-73.930304,"4011 FILLMORE AVE BROOKLYN, NY 11234",BROOKLYN,11234,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.32,73629.22,0.03,0.1,0.35,0.15,0.49,0.39,0.96,0.07,0.93,Meeting Target,0.91,Exceeding Target,0.89,Exceeding Target,0.84,Meeting Target,0.84,Meeting Target,0.92,Meeting Target,Meeting Target,2.91,2.99
,,,P.S. 217 COLONEL DAVID MARCUS SCHOOL,3.32E+11,22K217,22,40.633626,-73.966273,"1100 NEWKIRK AVE BROOKLYN, NY 11230",BROOKLYN,11230,"PK,0K,01,02,03,04,05",PK,5,No,0.71,50085.45,0.22,0.49,0.11,0.19,0.3,0.19,0.94,0.15,0.92,Exceeding Target,0.86,Meeting Target,0.92,Meeting Target,0.76,Approaching Target,0.83,Approaching Target,0.86,Meeting Target,Meeting Target,2.72,2.89
,,,P.S. 222 KATHERINE R. SNYDER,3.32E+11,22K222,22,40.613814,-73.938999,"3301 QUENTIN RD BROOKLYN, NY 11234",BROOKLYN,11234,"PK,0K,01,02,03,04,05",PK,5,No,0.39,74211.29,0.04,0.19,0.15,0.19,0.34,0.45,0.95,0.11,0.98,Meeting Target,0.94,Exceeding Target,0.98,Exceeding Target,0.86,Meeting Target,0.88,Meeting Target,0.97,Exceeding Target,Exceeding Target,3.03,3.32
,,,J.H.S. 234 ARTHUR W. CUNNINGHAM,3.32E+11,22K234,22,40.604437,-73.955171,"1875 E 17TH ST BROOKLYN, NY 11229",BROOKLYN,11229,"06,07,08",6,8,No,0.46,N/A,0.09,0.25,0.17,0.11,0.28,0.45,0.96,0.1,0.88,Meeting Target,0.89,Exceeding Target,0.85,Meeting Target,0.85,Meeting Target,0.73,Approaching Target,0.91,Meeting Target,Meeting Target,3.09,3.32
,,,P.S. 236 MILL BASIN,3.32E+11,22K236,22,40.615756,-73.912375,"6302 AVE U BROOKLYN, NY 11234",BROOKLYN,11234,"PK,0K,01,02,03,04,05",PK,5,No,0.31,62626.93,0.05,0.1,0.23,0.12,0.35,0.51,0.95,0.1,0.94,Meeting Target,0.95,Meeting Target,0.96,Meeting Target,0.86,Exceeding Target,0.86,Meeting Target,0.98,Exceeding Target,Meeting Target,3.12,3.38
,,,ANDRIES HUDDE,3.32E+11,22K240,22,40.623798,-73.946824,"2500 NOSTRAND AVE BROOKLYN, NY 11210",BROOKLYN,11210,"06,07,08",6,8,No,0.61,N/A,0.08,0.18,0.63,0.12,0.74,0.07,0.95,0.15,0.88,Approaching Target,0.87,Approaching Target,0.8,Meeting Target,0.81,Meeting Target,0.77,Approaching Target,0.91,Meeting Target,Meeting Target,2.51,2.48
,,,P.S. 245,3.32E+11,22K245,22,40.644838,-73.962837,"249 E 17TH ST BROOKLYN, NY 11226",BROOKLYN,11226,"PK,0K,01,02,03,04,05",PK,5,No,0.71,41740.33,0.16,0.03,0.51,0.43,0.93,0.02,0.95,0.13,0.94,Meeting Target,0.97,Exceeding Target,0.95,Exceeding Target,0.89,Exceeding Target,0.9,Exceeding Target,0.93,Meeting Target,Exceeding Target,2.75,2.93
,,,P.S. 251 PAERDEGAT,3.32E+11,22K251,22,40.631331,-73.92384,"1037 E 54TH ST BROOKLYN, NY 11234",BROOKLYN,11234,"PK,0K,01,02,03,04,05",PK,5,No,0.65,50557.18,0.06,0.04,0.77,0.13,0.9,0.05,0.93,0.24,0.84,Approaching Target,0.77,Approaching Target,0.87,Meeting Target,0.71,Approaching Target,0.83,Approaching Target,0.85,Meeting Target,Approaching Target,2.27,2.35
,,,P.S. 254 DAG HAMMARSKJOLD,3.32E+11,22K254,22,40.590901,-73.95149,"1801 AVE Y BROOKLYN, NY 11235",BROOKLYN,11235,"PK,0K,01,02,03,04,05",PK,5,No,0.47,50946.78,0.15,0.33,0.01,0.09,0.11,0.56,0.95,0.12,0.93,Approaching Target,0.9,Meeting Target,0.96,Meeting Target,0.82,Meeting Target,0.81,Approaching Target,0.91,Meeting Target,Exceeding Target,3.02,3.43
,,,P.S. 255 BARBARA REING SCHOOL,3.32E+11,22K255,22,40.604467,-73.956004,"1866 E 17TH ST BROOKLYN, NY 11229",BROOKLYN,11229,"PK,0K,01,02,03,04,05",PK,5,No,0.62,46872.04,0.19,0.23,0.03,0.11,0.14,0.62,0.96,0.09,0.9,Meeting Target,0.92,Exceeding Target,0.96,Exceeding Target,0.81,Meeting Target,0.83,Approaching Target,0.91,Meeting Target,Meeting Target,2.76,3.21
,,,P.S. 269 NOSTRAND,3.32E+11,22K269,22,40.637617,-73.947663,"1957 NOSTRAND AVE BROOKLYN, NY 11210",BROOKLYN,11210,"03,04,05",3,5,No,0.74,46197.25,0.18,0.02,0.84,0.11,0.95,0.02,0.94,0.18,0.94,Meeting Target,0.73,Approaching Target,0.82,Meeting Target,0.63,Not Meeting Target,0.8,Approaching Target,0.72,Not Meeting Target,Approaching Target,2.09,2.06
,,,P.S. 277 GERRITSEN BEACH,3.32E+11,22K277,22,40.595878,-73.927963,"2529 GERRITSEN AVE BROOKLYN, NY 11229",BROOKLYN,11229,"PK,0K,01,02,03,04,05",PK,5,No,0.29,62902.53,0.06,0.09,0.03,0.11,0.14,0.76,0.95,0.09,0.99,Exceeding Target,0.97,Exceeding Target,0.97,Exceeding Target,0.91,Exceeding Target,0.87,Meeting Target,0.97,Exceeding Target,Meeting Target,2.97,3.12
,,,J.H.S. 278 MARINE PARK,3.32E+11,22K278,22,40.60667,-73.938716,"1925 STUART ST BROOKLYN, NY 11229",BROOKLYN,11229,"06,07,08",6,8,No,0.49,N/A,0.03,0.09,0.47,0.16,0.63,0.27,0.94,0.17,0.91,Exceeding Target,0.91,Meeting Target,0.8,Approaching Target,0.88,Exceeding Target,0.94,Exceeding Target,0.91,Meeting Target,Meeting Target,2.78,2.68
,,,P.S. 312 BERGEN BEACH,3.32E+11,22K312,22,40.622032,-73.909073,"7103 AVE T BROOKLYN, NY 11234",BROOKLYN,11234,"PK,0K,01,02,03,04,05",PK,5,No,0.35,72343.36,0.04,0.04,0.39,0.11,0.51,0.44,0.95,0.13,0.94,Meeting Target,0.93,Meeting Target,0.96,Meeting Target,0.83,Meeting Target,0.86,Meeting Target,0.93,Meeting Target,Meeting Target,2.87,3.03
,,,P.S. K315,3.32E+11,22K315,22,40.632619,-73.954263,"2310 GLENWOOD RD BROOKLYN, NY 11210",BROOKLYN,11210,"PK,0K,01,02,03,04,05",PK,5,No,0.75,47037.27,0.13,0.09,0.62,0.25,0.87,0.03,0.94,0.2,0.88,Meeting Target,0.84,Meeting Target,0.86,Meeting Target,0.72,Approaching Target,0.81,Approaching Target,0.93,Meeting Target,Meeting Target,2.42,2.41
,,,I. S. 381,3.32E+11,22K381,22,40.612571,-73.951555,"1599 E 22ND ST BROOKLYN, NY 11210",BROOKLYN,11210,"06,07,08",6,8,No,0.62,N/A,0.12,0.06,0.61,0.18,0.79,0.14,0.95,0.13,0.82,Meeting Target,0.92,Meeting Target,0.8,Meeting Target,0.87,Meeting Target,0.77,Approaching Target,0.89,Meeting Target,Approaching Target,2.54,2.31
,,,P.S. 041 FRANCIS WHITE,3.32E+11,23K041,23,40.660182,-73.906873,"411 THATFORD AVE BROOKLYN, NY 11212",BROOKLYN,11212,"0K,01,02,03,04,05,06,07,08",0K,8,No,0.9,29567.13,0.06,0.01,0.63,0.32,0.95,0.01,0.89,0.42,0.87,Approaching Target,0.88,Meeting Target,0.79,Approaching Target,0.81,Meeting Target,0.77,Not Meeting Target,0.87,Approaching Target,Approaching Target,2.14,2.13
,,,P.S./I.S. 137 RACHEL JEAN MITCHELL,3.32E+11,23K137,23,40.682247,-73.916696,"121 SARATOGA AVE BROOKLYN, NY 11233",BROOKLYN,11233,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.81,35419.93,0.03,0,0.74,0.2,0.94,0.01,0.88,0.43,0.93,Meeting Target,0.9,Meeting Target,0.85,Approaching Target,0.8,Meeting Target,0.87,Meeting Target,0.92,Meeting Target,Meeting Target,2.27,2.38
,,,P.S. 150 CHRISTOPHER,3.32E+11,23K150,23,40.668635,-73.905086,"364 SACKMAN ST BROOKLYN, NY 11212",BROOKLYN,11212,"0K,01,02,03,04,05,SE",0K,5,No,0.95,16901.67,0.1,0.02,0.59,0.32,0.91,0.03,0.92,0.3,0,N/A,0.87,N/A,0.9,N/A,0.89,N/A,0.82,N/A,0.91,N/A,Approaching Target,1.97,2.02
,,,P.S./ I.S. 155 NICHOLAS HERKIMER,3.32E+11,23K155,23,40.677642,-73.908695,"1355 HERKIMER ST BROOKLYN, NY 11233",BROOKLYN,11233,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.88,36518.6,0.13,0.02,0.5,0.46,0.96,0.01,0.88,0.43,0.91,Meeting Target,0.96,Meeting Target,0.86,Approaching Target,0.88,Meeting Target,0.86,Meeting Target,0.95,Exceeding Target,Approaching Target,2.14,2.15
,,,P.S. 156 WAVERLY,3.32E+11,23K156,23,40.665297,-73.917884,"104 SUTTER AVE BROOKLYN, NY 11212",BROOKLYN,11212,"PK,0K,01,02,03,04,05",PK,5,Yes,0.86,34013.33,0.03,0.01,0.78,0.19,0.97,0.01,0.9,0.4,0.93,Meeting Target,0.93,Meeting Target,0.9,Approaching Target,0.85,Meeting Target,0.84,Meeting Target,0.96,Exceeding Target,Approaching Target,2.19,2.29
,,,P.S. 165 IDA POSNER,3.32E+11,23K165,23,40.657196,-73.910944,"76 LOTT AVE BROOKLYN, NY 11212",BROOKLYN,11212,"PK,0K,01,02,03,04,05,06,07,08",PK,8,Yes,0.82,34324.41,0.04,0,0.83,0.14,0.97,0.02,0.86,0.5,0.91,Approaching Target,0.89,Meeting Target,0.87,Approaching Target,0.81,Meeting Target,0.83,Meeting Target,0.92,Meeting Target,Approaching Target,2.12,2.01
,,,P.S. 178 SAINT CLAIR MCKELWAY,3.32E+11,23K178,23,40.675234,-73.915306,"2163 DEAN ST BROOKLYN, NY 11233",BROOKLYN,11233,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.88,31132.53,0.07,0.01,0.79,0.16,0.95,0.02,0.89,0.46,0.94,Meeting Target,0.95,Meeting Target,0.88,Approaching Target,0.88,Exceeding Target,0.9,Exceeding Target,0.96,Exceeding Target,Meeting Target,2.26,2.31
,,,P.S. 184 NEWPORT,3.32E+11,23K184,23,40.660228,-73.904947,"273 NEWPORT ST BROOKLYN, NY 11212",BROOKLYN,11212,"PK,0K,01,02,03,04,05,06,07,08,SE",PK,8,No,0.9,29709.42,0.04,0.01,0.71,0.27,0.98,0,0.88,0.48,0.83,Approaching Target,0.8,Approaching Target,0.8,Approaching Target,0.72,Approaching Target,0.87,Meeting Target,0.86,Approaching Target,Approaching Target,2.17,2.21
,,,"THE GREGORY JOCKO JACKSON SCHOOL OF SPORTS, ART, AND TECHNOLOGY",3.32E+11,23K284,23,40.666934,-73.90761,"213 OSBORN ST BROOKLYN, NY 11212",BROOKLYN,11212,"PK,0K,01,02,03,04,05,06,07,08",PK,8,Yes,0.91,20931.74,0.09,0,0.69,0.3,0.99,0.01,0.89,0.4,0.9,Meeting Target,0.87,Meeting Target,0.86,Approaching Target,0.8,Meeting Target,0.9,Exceeding Target,0.92,Meeting Target,Approaching Target,2.08,2.09
,,,P.S. 298 DR. BETTY SHABAZZ,3.32E+11,23K298,23,40.671012,-73.90774,"85 WATKINS ST BROOKLYN, NY 11212",BROOKLYN,11212,"0K,01,02,03,04,05",0K,5,Yes,0.93,23414.77,0.08,0.01,0.66,0.28,0.94,0.01,0.89,0.42,0.97,Meeting Target,0.94,Meeting Target,0.88,Approaching Target,0.83,Meeting Target,0.85,Meeting Target,0.92,Meeting Target,Not Meeting Target,1.97,1.97
,,,P.S./I.S. 323,3.32E+11,23K323,23,40.666247,-73.91127,"210 CHESTER ST BROOKLYN, NY 11212",BROOKLYN,11212,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.86,27808.12,0.03,0.01,0.78,0.2,0.98,0,0.9,0.38,0.96,Meeting Target,0.95,Meeting Target,0.88,Approaching Target,0.86,Meeting Target,0.86,Meeting Target,0.93,Exceeding Target,Approaching Target,2.32,2.25
